image,source,headline,label,explanation,Inaccurate reasoning (Yes/No),Explanation states opinion (Yes/No),Explanation uses commonsense reasoning (Yes/No),Explanation uses knowledge of specific events (Yes/No),Explanation uses domain knowledge (Yes/No)
True/medical/will-monkeypox-become-an-established-std-why-one-infectious-disease-expert-thinks-so2022-09-03-22-44-03.jpg,FOXNEWS.COM,Will monkeypox become an ‘established STD’ Why one infectious disease expert thinks so,True,The article explores an infectious disease expert's perspective that Monkeypox could become an established STD due to its capability of human-to-human transmission. This view is based on trends observed in similar diseases and considering factors such as globalization and changes in human behavior.,No,Yes,Yes,No,Yes
True/medical/russia-reports-50-000-covid-19-cases-for-second-day-running2022-09-03-21-23-01.jpg,REUTERS.COM,"Russia reports 50,000 COVID-19 cases for second day running",True,"The headline is considered 'true' because for two consecutive days, Russian health officials have reported 50,000 new infections of COVID-19. This suggests there is a high rate of virus transmission within the country, illustrating the serious nature of the pandemic at this point in time in Russia.",No,No,Yes,Yes,Yes
True/medical/chicago-top-doctor-reveals-which-covid-symptoms-she-experienced2022-09-03-21-25-32.jpg,NBCCHICAGO.COM,Chicago's Top Doctor Reveals Which COVID Symptoms She Experienced,True,"The headline is considered true because it states that a prominent medical professional in Chicago publicly shared personal information about her experience with COVID-19 symptoms. It suggests she contracted the virus herself and disclosed what specific symptoms she experienced as a result, which can provide firsthand insight for the public.",No,No,Yes,No,Yes
True/medical/fauci-predicts-uptick-in-covid-floats-indoors-mask-requirement2022-09-03-22-36-22.jpg,BREITBART.COM,"Fauci Predicts ‘Uptick’ in COVID, Floats Indoors Mask Requirement",True,"In this headline, Dr. Anthony Fauci, a leading figure in the US COVID-19 response, is reportedly predicting an increase or 'uptick' in COVID-19 cases. He is also contemplating the possibility of imposing an indoors mask requirement again to curb the virus's spread. Therefore, the headline accurately represents Dr. Fauci's statements and predictions.",No,No,Yes,Yes,Yes
True/medical/texas-confirms-first-us-death-of-person-with-monkeypox2022-09-03-22-44-21.jpg,FOXNEWS.COM,Texas confirms frst US death of person with monkeypox The state f Texas confirmed what is believed to be the first death of someo ,True,"The Texas Department of State Health Services recently confirmed the death of a resident from a rare but severe infection known as monkeypox. This is believed to be the first documented fatality from monkeypox in the United States, making the headline true.",No,No,Yes,Yes,Yes
True/medical/biden-team-prepares-for-possible-winter-surge-in-covid-192022-09-03-22-43-43.jpg,WASHINGTONTIMES.COM,Biden team prepares for possible winter surge in COVID-19 The Biden administration is taking steps to prepare for a possible winter sur:,True,"The headline implies that the Biden administration is proactive in planning for potential COVID-19 surges in the upcoming winter. This is true because it is essential for governments to anticipate and prepare for potential scenarios in order to effectively manage public health crises. This includes taking necessary precautions against the possible resurgence of the virus, especially during winter when people will be more indoors.",No,No,Yes,No,Yes
True/medical/white-house-asks-for-47-billion-for-ukraine-covid-19-monkeypox-and-disasters2022-09-03-21-23-52.jpg,NPR.ORG,"White House asks for $47 billion for Ukraine, COVID-19, monkeypox and disasters",True,"The headline is true because it reports on the request made by the White House for a $47 billion supplemental budget. This funding request is made to address various pressing issues, including providing support to Ukraine, handling the ongoing COVID-19 pandemic, dealing with an outbreak of monkeypox, and managing natural disasters.",No,No,Yes,Yes,Yes
True/medical/covid-in-china-fish-tested-amid-xiamen-outbreak2022-09-03-21-29-41.jpg,BBC.COM,Covid in China: Fish tested amid Xiamen outbreak Footage has gone viral showing live fish and crabs being tested in China for._,True,"The headline is true because during an outbreak of Covid-19 in Xiamen, China, authorities did conduct tests on live fish and crabs. This unusual precautionary measure was undertaken due to concerns about the virus being spread through imported cold chain food products. The entire process was captured on video, which subsequently went viral.",No,No,Yes,Yes,Yes
True/medical/cdc-director-orders-agency-overhaul-admitting-flawed-covid-19-response2022-09-03-21-27-28.jpg,POLITICO.COM,"CDC director orders agency overhaul, admitting flawed Covid-19 response",True,"The CDC director issued directives for an agency overhaul in response to criticisms and shortcomings in handling the Covid-19 pandemic. Acknowledging that the Covid-19 response was flawed, the director emphasized the need for a revamp to better public health crisis management.",No,No,Yes,Yes,Yes
True/medical/illinois-professor-says-going-maskless-indoors-manifestation-of-racism-will-boot-non-compliant-stude2022-09-03-22-37-52.jpg,FOXNEWS.COM,"Illinois professor says going maskless indoors a ‘manifestation’ of racism, will boot non-compliant students",True,"An Illinois professor has reportedly labeled the refusal to wear masks indoors as a form of racism, due to the disproportionately high impact of Covid-19 on communities of color. The professor has also declared that students who do not comply with mask-wearing requirements will be removed from their classes.",No,No,Yes,Yes,Yes
True/medical/life-expectancy-in-the-s-continues-to-drop-driven-by-covid-192022-09-03-21-28-15.jpg,NPR.ORG,"Life expectancy in the U.S. continues to drop, driven by COVID-19",True,"The COVID-19 pandemic has led to an unprecedented number of deaths in a short span of time in the U.S. This has significantly impacted the average life expectancy rates, causing them to drop. Additionally, the common health complications following infection can potentially shorten lifespan even further, increasing the impact of the virus on life expectancy.",No,No,Yes,Yes,Yes
True/medical/biden-administration-will-stop-buying-covid-19-vaccines-treatments-and-tests-as-early-as-this-fall-j2022-09-03-21-26-15.jpg,CNN.COM,"Biden administration will stop buying Covid-19 vaccines, treatments and tests as early as this fall, Jha says",True,"Dr. Ashish Jha, a public health advisor to the Biden administration, announced that the U.S. government plans to halt purchasing Covid-19 vaccines, treatments and tests as early as fall 2022. The decision is based on the expectation of sufficient supply and reduced Covid-19 severity due to widespread vaccination and natural immunity.",No,No,Yes,Yes,Yes
True/medical/us-monkeypox-cases-jump-as-testing-increases2022-09-03-22-46-35.jpg,FOXNEWS.COM,"US monkeypox cases jump as testing increases - Cases of the monkeypox virus in the U.S. have surpassed 1,800 this weekend",True,"The headline is true because there has been a significant rise in the number of confirmed monkeypox cases in the US recently, exceeding 1,800 over the weekend. This increase can be attributed partly to more comprehensive testing, enabling the detection of more cases of the virus.",No,No,Yes,Yes,Yes
True/medical/monkeypox-cases-are-declining-in-new-york-city-and-globally2022-09-03-21-43-23.jpg,NYTIMES.COM,Monkeypox Cases Are Declining in New York City and Globally,True,"This headline can be considered true if there is valid data indicating a decrease in the number of individuals in New York City and worldwide being diagnosed with monkeypox. Public health measures, improved sanitation, and possibly the availability of an effective vaccine could all contribute to this reduction.",No,No,Yes,No,Yes
True/medical/children-potentially-exposed-to-monkeypox-at-illinois-day-care-officials-say2022-09-03-21-42-37.jpg,WASHINGTONPOST.COM,"Children potentially exposed to monkeypox at Illinois day care, officials say",True,"According to officials, children attending a day care in Illinois may have been exposed to monkeypox. This arose due to a potential contact with a person diagnosed with the infection. The precautionary measures and necessary actions are being undertaken to handle the situation.",No,No,Yes,Yes,Yes
True/medical/white-house-seeks-47-billion-for-covid-monkeypox-ukraine-and-floods2022-09-03-21-11-14.jpg,WASHINGTONPOST.COM,"White House seeks $47 billion for covid, monkeypox, Ukraine and floods",True,"The White House indeed requested $47 billion for various emergency requirements. This funding request broadly aims to combat COVID-19, prepare for possible outbreaks like monkeypox, provide assistance to Ukraine amidst political and military turmoil, and address recent flood disasters. The headline outlines these primary allocations within the proposed budget.",No,No,Yes,Yes,Yes
True/medical/philadelphia-health-department-issues-monkeypox-advisory-ahead-of-made-in-america-festival2022-09-03-21-37-15.jpg,CBSNEWS.COM,Philadelphia health department issues monkeypox advisory ahead of Made in America Festival,True,"The Philadelphia Health Department indeed issued a monkeypox advisory ahead of the Made in America Festival. This was due to increased concern regarding potential public health risks, particularly after recent monkeypox cases in the US. The advisory serves to inform and protect the public in large gatherings such as the festival.",No,No,Yes,Yes,Yes
True/medical/new-omicron-boosters-are-now-available-but-it-unclear-how-effective-they-will-be2022-09-03-21-23-43.jpg,CNBC.COM,"New omicron boosters are now available, but it's unclear how effective they will be",True,"New omicron boosters have indeed been released. However, since the Omicron variant of COVID-19 is relatively new, enough data has not been gathered yet to fully determine the efficacy of these boosters. Studies and observations are ongoing to evaluate their effectiveness in combating this specific variant.",No,No,Yes,Yes,Yes
True/medical/monkeypox-is-rare-in-children-but-12-schools-are-preparing-for-possible-cases2022-09-03-21-43-33.jpg,CNN.COM,"Monkeypox is rare in children, but K-12 schools are preparing for possible cases",True,"Monkeypox is an uncommon disease especially in children. Despite that, K-12 schools are taking preventive measures because it's a viral zoonotic disease meaning it can spread from animals to humans. It can also spread from person to person, hence the caution in environments where children can easily transmit infections like schools.",No,No,Yes,No,Yes
True/medical/moderna-sues-pfizer-and-biontech-over-covid-vaccine-technology2022-09-03-21-24-19.jpg,NYTIMES.COM,Moderna Sues Pfizer and BioNTech over Covid Vaccine Technology,True,"Moderna has filed a lawsuit against Pfizer and BioNTech, accusing them of infringing on its patent for the lipid nanoparticle technology used in producing COVID-19 vaccines. The legal action seeks to address potential intellectual property violations in the development and distribution of Pfizer-BioNTech's vaccine.",No, No,Yes,Yes,Yes
True/medical/this-is-not-the-monkeypox-that-doctors-thought-they-knew2022-09-03-21-44-33.jpg,NYTIMES.COM,This Is Not the Monkeypox That Doctors Thought They Knew,True,"The headline is deemed true because the Monkeypox virus has mutated or changed, showing characteristics different from its known form. Doctors thought they knew how it behaved and the symptoms it caused, but the new strain or nature of the virus has posed unfamiliar challenges, hence their understanding had to be revised, making the statement 'this is not the Monkeypox that doctors thought they knew' valid.",No,No,Yes,Yes,Yes
True/medical/trump-white-house-exerted-pressure-on-fda-for-covid-19-emergency-use-authorizations-house-report-fin2022-09-03-21-26-24.jpg,POLITICO.COM,"Trump White House exerted pressure on FDA for Covid-19 emergency use authorizations, House report finds",True,"A House report revealed that the Trump administration pressured the Food and Drug Administration (FDA) to grant emergency use authorizations for COVID-19 treatments. The report detailed instances where political pressure was exerted to expedite the authorization process, which has raised concerns about the influence of politics on public health decisions.",No,No,Yes,Yes,Yes
True/medical/who-declares-monkeypox-global-health-emergency2022-09-03-22-43-54.jpg,FOXNEWS.COM,WHO declares monkeypox a global health emergency,True,"The World Health Organization (WHO) has declared monkeypox a global health emergency due to the disease spreading to new regions and spiking caseloads. Monkeypox is a rare but potentially serious viral illness that typically begins with flu-like illness and swelling lymph nodes, progressing to a widespread rash on the face and body. The increase in cases necessitates urgent international attention and response.",No,No,Yes,No,Yes
True/medical/google-employees-frustrated-after-office-covid-outbreaks-some-call-to-modify-vaccine-policy2022-09-03-21-28-35.jpg,CNBC.COM,"Google employees frustrated after office Covid outbreaks, some call to modify vaccine policy",True,"A number of Google employees have expressed frustration due to Covid outbreaks within the company offices. These employees are questioning Google's vaccine policy, urging the tech giant to modify it in a way that could potentially curb the spread of the virus. The dissatisfaction stems from their concern about personal safety and the effective continuity of on-site work.",No,No,Yes,Yes,Yes
True/medical/hhs-says-it-plans-to-extend-covid-19-public-health-emergency2022-09-03-21-29-05.jpg,POLITICO.COM,HHS says it plans to extend Covid-19 public health emergency,True,"The U.S. Department of Health and Human Services (HHS) confirmed its intention to extend the Covid-19 public health emergency. This decision comes in response to the ongoing pandemic, as HHS continues to monitor infection rates, vaccination progress and overall impact on public health. The extension allows for continued distribution of resources and funding to deal with the crisis.",No,No,Yes,Yes,Yes
True/medical/peter-doocy-challenges-white-house-on-unvaccinated-migrants-crossing-border2022-09-03-22-38-26.jpg,FOXNEWS.COM,Peter Doocy challenges White House on unvaccinated migrants crossing border,True,"The headline is true as Peter Doocy, a Fox News correspondent, did indeed challenge the White House regarding the issue of unvaccinated migrants crossing the border. Doocy posed a question during a press briefing, highlighting a perceived double standard in the administration's treatment of migrants and everyday American citizens in relation to COVID-19 vaccination requirements.",No,No,Yes,Yes,Yes
True/medical/cdc-raises-monkeypox-alert-to-level-recommends-masks-during-travel2022-09-03-22-38-52.jpg,FOXNEWS.COM,"CDC raises monkeypox alert to level 2, recommends masks during travel",True,"The CDC has raised its alert for monkeypox to level 2 due to an increased number of cases. As a preventive measure in public settings, especially during travel where chances of spread are higher, the CDC is recommending the use of masks. This is to curb the transmission risk of this disease.",No,No,Yes,Yes,Yes
True/medical/window-of-opportunity-to-stop-monkeypox-spread-could-be-closing-as-vaccine-rollouts-stall2022-09-03-21-42-48.jpg,CNBC.COM,'Window of opportunity' to stop monkeypox spread could be closing as vaccine rollouts stall,True,"The headline implies that the current situation provides a crucial time frame to halt the spread of monkeypox. As more time elapses, the disease spreads further, making control efforts more difficult. However, vaccine rollouts stalling means fewer individuals are being immunized, thus increasing susceptibility to the disease. Therefore, the 'window of opportunity' to curb the spread effectively may be closing.",No,No,Yes,Yes,Yes
True/medical/first-lady-jill-biden-recovers-from-covid-again-returning-to-washington2022-09-03-22-38-00.jpg,FOXNEWS.COM,"First lady Jill Biden recovers from COVID again, returning to Washington",True,"This headline is true as it reports that First Lady Jill Biden has recovered from COVID for a second time, indicating she has contracted and overcome the virus twice. The part about her returning to Washington suggests she's resuming her official duties in the capital, hence making it accurate if she indeed is returning following her recovery.
",No,No,Yes,Yes,Yes
True/medical/first-juvenile-monkeypox-case-reported-in-nyc-as-virus-spreads2022-09-03-22-42-38.jpg,NYPOST.COM,First juvenile monkeypox case reported in NYC as virus spreads,True,"The headline is true as a case of monkeypox has been reported in a juvenile in New York City. This marks the first instance of the virus appearing in a young individual in this area. The wording of the headline indicates that the virus is not contained, and it is spreading further.",No,No,Yes,Yes,Yes
True/medical/denmark-expects-winter-free-of-covid-restrictions2022-09-03-21-27-56.jpg,FOXNEWS.COM,Denmark expects a winter free of COVID restrictions,True,"Denmark's government believes that the high vaccination rate among its citizens will enable them to manage the pandemic without imposing further COVID restrictions during the winter. This belief is underpinned by a robust healthcare infrastructure, the wide application of booster shots, and extensive testing capabilities.",No, No,Yes,Yes,Yes
True/medical/emergency-covid-money-from-early-2021-bill-slow-to-be-spent-goes-to-many-non-covid-uses2022-09-03-22-37-18.jpg,FOXNEWS.COM,"Emergency COVID money from early 2021 bill slow to be spent, goes to many non-COVID uses",True,"The headline is true because funds from the early 2021 COVID-19 relief bill have not been dispatched rapidly, delaying much-needed aid. Additionally, a portion of these funds has been allocated to areas that do not directly combat the pandemic, which also includes initiatives not immediately related to COVID-19 relief.",No,No,Yes,Yes,Yes
True/medical/biden-administration-planning-to-extend-covid-emergency-declaration2022-09-03-21-24-42.jpg,POLITICO.COM,Biden administration planning to extend Covid emergency declaration,True,"The Biden administration announced its intention to extend the Covid-19 emergency declaration that was due to expire. This extension is due to the continued challenges presented by the pandemic, and the importance of maintaining resources and funding allocated for emergency responses. It reflects the government's ongoing commitment to combating Covid-19.",No,No,Yes,Yes,Yes
True/medical/why-experts-want-to-rename-monkeypox2022-09-03-21-33-55.jpg,NYTIMES.COM,"Why Experts Want to Rename Monkeypox Public health researchers say the term evokes racist stereotypes, reinforces_",True,Experts in public health have suggested renaming 'Monkeypox' due to the racial stereotypes it may invoke. They argue that linking diseases to specific animals or regions can be harmful and discriminatory. This further contributes to public miscommunication and alienation — all of which impacts the effective management and understanding of these conditions.,No,No,Yes,No,Yes
True/medical/with-supplies-low-fda-authorizes-plan-to-stretch-limited-monkeypox-vaccine-doses2022-09-03-21-34-36.jpg,NPR.ORG,"With supplies low, FDA authorizes plan to stretch limited monkeypox vaccine doses",True,The headline is true because the FDA has approved a plan to make limited doses of the monkeypox vaccine go further due to a shortage in supplies. This could involve administering smaller doses to people or finding other means to maximize the existing vaccine supply.,No,No,Yes,Yes,Yes
True/medical/the-us-is-on-covid-plateau-and-no-one-sure-what-will-happen-next2022-09-03-21-25-12.jpg,CNN.COM,"The US is on a Covid plateau, and no one’s sure what will happen next",True,"This headline is true as the US is currently experiencing a steady rate of Covid-19 cases, without significant increases or decreases, hence the term plateau. However, due to factors such as vaccination rates, virus variants, and changing social behaviors, it's unpredictable to definitively forecast the future trajectory of the pandemic.",No,No,Yes,Yes,Yes
True/medical/signs-and-symptoms-of-monkeypox-what-the-rash-looks-like-and-what-to-watch-for2022-09-03-21-44-44.jpg,NBCCHICAGO.COM,Signs and Symptoms of Monkeypox: What the Rash Looks Like and What to Watch for,True,"The headline is true as it educates on the signs and symptoms of monkeypox. It informs people on how the monkeypox rash looks and what issues to be vigilant for. This knowledge can lead to early detection and prompt medical intervention, potentially controlling the spread of the disease and saving lives.",No,No,Yes,No,Yes
True/medical/first-case-man-diagnosed-with-simultaneous-coronavirus-hiv-and-monkeypox2022-09-03-22-37-34.jpg,BREITBART.COM,"First Case: Man Diagnosed with Simultaneous Coronavirus, HIV, and Monkeypox",True,"This headline is true because it reports an actual incident where a man was diagnosed with all three diseases - Coronavirus, HIV, and Monkeypox, concurrently. These diseases can coexist within a single individual due to their different modes of transmission and effects on different systems in the body.",Yes,No,No,No,No
True/medical/cdc-signs-off-on-reformulated-covid-19-booster2022-09-03-22-44-49.jpg,WASHINGTONTIMES.COM,CDC signs off on reformulated COVID-19 booster The Centers for Disease Control and Prevention endorsed Thursday the:._,True,The headline is true because the Centers for Disease Control and Prevention (CDC) has indeed given its approval for a reformulated COVID-19 booster. This decision comes as part of the organization's continuous efforts to adapt to changes and advancement in vaccine development targeted at tackling the pandemic. The authorization shows that the new formulation has undergone the necessary rigorous testing and has met the safety and efficacy requirements set by the CDC.,No,No,Yes,Yes,Yes
True/medical/monkeypox-cases-jumped-20-in-the-last-week-to-35-000-across-92-countries-who-says2022-09-03-21-34-27.jpg,CNBC.COM,"Monkeypox cases jumped 20% in the last week to 35,000 across 92 countries, WHO says",True,"This headline is true because the World Health Organization (WHO) has released data indicating a significant increase in the number of reported monkeypox cases worldwide. The figures indicate a 20% rise over the last week, with the total number of cases reaching 35,000 across 92 countries.",No,No,Yes,Yes,Yes
True/medical/covid-lockdown-strands-80-000-tourists-in-china-hawaii-cnn2022-09-03-21-30-17.jpg,CNN.COM,"Covid lockdown strands 80,000 tourists in ‘China’s Hawaii’ | CNN",True,"The COVID-19 lockdown has resulted in approximately 80,000 tourists being unable to leave Hainan, often referred to as 'China's Hawaii' due to its tropical climate and popularity as a vacation spot. The travel restrictions were implemented as part of efforts to curb the spread of the virus, effectively stranding the visitors.",No,No,Yes,Yes,Yes
True/medical/shenzhen-districts-locked-down-as-china-battles-covid-outbreaks2022-09-03-21-26-44.jpg,REUTERS.COM,Shenzhen districts locked down as China battles COVID outbreaks,True,"The headline is true as several districts in Shenzhen, a major city in China, are placed under lockdown due to a resurgence of COVID-19 cases. The Chinese authorities are employing strict measures including mass testing, lockdowns and travel restrictions to control the spread of the virus in an effort to maintain its ""zero-COVID"" policy.",No,No,Yes,Yes,Yes
True/medical/a-child-has-monkeypox-in-new-york-city-but-the-epidemic-may-be-waning2022-09-03-21-43-47.jpg,NYTIMES.COM,"A Child Has Monkeypox in New York City, but the Epidemic May Be Waning",True,"Although a child in New York City reportedly has Monkeypox, public health officials believe the outbreak may be subsiding. This assessment could be based on various factors such as the rate of transmission, a decline in new cases, or the implementation of effective disease control measures. Despite the individual incidence, the overall trend appears to be one of a decreasing epidemic.",No,No,Yes,Yes,Yes
True/medical/u-moves-to-stretch-out-monkeypox-vaccine-supply2022-09-03-21-37-51.jpg,NYTIMES.COM,"U.S. Moves to Stretch Out Monkeypox Vaccine Supply The approach, which would require a new emergency authorization, would.",True,"The U.S. government is seeking to increase its Monkeypox vaccine supply due to a rise in the number of reported cases. To achieve this, it plans to dilute existing stocks of the vaccine, a strategy that would require emergency authorization. If successful, this would effectively stretch out the vaccine supply to protect more people against the disease.",No,No,Yes,Yes,Yes
True/medical/current-covid-symptoms-common-symptoms-now-compared-to-earlier-in-pandemic2022-09-03-21-31-14.jpg,NBCCHICAGO.COM,Current COVID Symptoms: Common Symptoms Now Compared to Earlier in Pandemic,True,"This headline is true because the COVID-19 virus, like other viruses, can mutate and evolve over time. New variants may present different symptoms compared to earlier strains. Continual research and patient accounts have indicated varying symptoms as the pandemic progresses. Thus, comparing current common symptoms to those earlier in the pandemic is legitimate and useful for public health information.",No,No,Yes,Yes,Yes
True/medical/pain-fear-stigma-what-people-who-survived-monkeypox-want-you-to-know2022-09-03-21-37-29.jpg,NYTIMES.COM,"Pain, Fear; Stigma: What People Who Survived Monkeypox Want You to Know",True,"The headline is true because people who have survived Monkeypox, a rare and severe viral disease, experience intense physical pain, raw fear, and societal stigma. These survivors want to educate the public about their experiences in order to foster better understanding and empathy, hence mitigating the stigma associated with the disease.",No,No,Yes,Yes,Yes
True/medical/who-new-covid-cases-deaths-keep-falling-nearly-everywhere2022-09-03-22-43-26.jpg,WASHINGTONTIMES.COM,"WHO: New COVID cases, deaths keep falling nearly everywhere",True,"The headline is true because, according to reports from the World Health Organization (WHO), the number of new COVID-19 cases and deaths has been consistently decreasing in many parts of the world. This downward trend is attributed to widespread vaccination efforts, improved treatment strategies, and effective public health measures.",No,No,Yes,Yes,Yes
True/medical/ny-state-health-commish-says-little-danger-of-monkeypox-spread-inside-schools2022-09-03-22-44-59.jpg,NYPOST.COM,NY state health commish says little danger of monkeypox spread inside schools,True,"This headline is true because the likelihood of spreading Monkeypox, a rare viral disease primarily found in remote parts of Central and West Africa, within schools is very low. This is due to the fact that Monkeypox transmission requires close contact with an infected animal or person, which is not a common scenario in schools following health regulations. Therefore, the NY state health commissioner underscores minimal risk.",No,No,Yes,No,Yes
True/medical/berkeley-to-require-students-who-have-not-received-flu-shot-to-mask-up2022-09-03-22-39-35.jpg,FOXNEWS.COM,Berkeley to require students who have not received flu shot to mask up,True,"Berkeley announced a new policy regarding flu vaccinations. To ensure the health and safety of their campus community, they've decided that unvaccinated students must wear masks to help prevent the potential spread of the flu. This policy indicates a significant effort by the institution to manage infectious diseases on its campus.",No,No,Yes,Yes,Yes
True/medical/with-new-guidance-cdc-ends-test-to-stay-for-schools-and-relaxes-covid-rules2022-09-03-21-29-23.jpg,NPR.ORG,"With new guidance, CDC ends test-to-stay for schools and relaxes COVID rules",True,"The Centers for Disease Control and Prevention (CDC) recently updated its guidelines for COVID-19 in schools. The ""test-to-stay"" strategy, which allowed exposed students to remain in school if tests were negative, was eliminated. Additionally, the new guidance relaxed certain COVID-19 protocols, making the headline accurate.",No,No,Yes,Yes,Yes
True/medical/covid-monkeypox-polio-summer-of-viruses-reflects-travel-warming-trends2022-09-03-21-22-51.jpg,WASHINGTONPOST.COM,"Covid, monkeypox, polio: Summer of viruses reflects travel, warming trends",True,"The headline is accurate as 2020 and 2021 saw a rise in various virus outbreaks such as Covid-19, monkeypox, and polio. This surge reflects increased global travel, allowing rapid spread of diseases, and climate change, which impacts pathogen development and distribution. Warming trends also alter habitats, influencing animal-to-human virus transmission.",No,No,Yes,Yes,Yes
True/medical/president-biden-again-tests-negative-for-covid-ends-isolation2022-09-03-22-26-19.jpg,NPR.ORG,"President Biden again tests negative for COVID, ends isolation",True,"The headline 'President Biden again tests negative for COVID, ends isolation' is deemed true because it clearly indicates that President Biden has undergone a subsequent COVID-19 test, found to be negative. Following the negative result, he ceases COVID-related isolation measures consistent with public health guidelines. This shows that he has effectively recovered from any previous risk or infection, which is a factually accurate report.",No,No,Yes,Yes,Yes
True/medical/there-a-bit-of-good-news-about-monkeypox-is-it-because-of-the-vaccine2022-09-03-21-39-39.jpg,NPR.ORG,There’s a bit of good news about monkeypox. Is it because of the vaccine?,True,"This headline is likely true because it suggests that improvements around monkeypox could be due to vaccination. Vaccines are designed to enhance immunity against a particular disease, in this case, monkeypox. Hence, if there's good news associated with the disease, it could very likely be correlated with the usage or effectiveness of a vaccine.",No,No,Yes,No,Yes
